time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
9875	19750000	533.750000	8.03422e-07	0.00523781	0.000520592	0.00307133	1.08337	0.102741	69	9.03501
10000	20000000	535.000000	8.06725e-07	0.00515047	0.000596512	0.00308082	1.0653	0.117724	76	9.12549
10125	20250000	536.250000	8.10033e-07	0.00505727	0.000679861	0.00308998	1.04602	0.134173	79	9.21302
10250	20500000	537.500000	8.13347e-07	0.00495575	0.000771887	0.00309856	1.02503	0.152335	84	9.29535
10375	20750000	538.750000	8.16666e-07	0.00484346	0.000873731	0.00310678	1.0018	0.172434	94	9.37443
10500	21000000	540.000000	8.19989e-07	0.00472208	0.00098582	0.00311408	0.976695	0.194556	98	9.44539
10625	21250000	541.250000	8.23318e-07	0.00459246	0.00110762	0.00312081	0.949883	0.218594	104	9.51128
10750	21500000	542.500000	8.26652e-07	0.00445231	0.00124033	0.0031264	0.920897	0.244784	112	9.5671
10875	21750000	543.750000	8.29991e-07	0.00430114	0.00138437	0.00313112	0.889629	0.273211	119	9.6153
11000	22000000	545.000000	8.33335e-07	0.00414232	0.00153897	0.00313471	0.856778	0.303721	121	9.65363
11125	22250000	546.250000	8.36684e-07	0.0039741	0.0017037	0.003137	0.821985	0.336232	125	9.68032
11250	22500000	547.500000	8.40037e-07	0.00379671	0.00187824	0.00313793	0.785295	0.370679	136	9.6952
11375	22750000	548.750000	8.43396e-07	0.0036112	0.0020633	0.00313729	0.746925	0.4072	136	9.69623
11500	23000000	550.000000	8.4676e-07	0.00341882	0.00225714	0.00313499	0.707133	0.445456	140	9.68256
11625	23250000	551.250000	8.50129e-07	0.00321941	0.00245868	0.00313094	0.665888	0.48523	150	9.65336
11750	23500000	552.500000	8.53502e-07	0.00301006	0.00267128	0.00312459	0.622588	0.527187	163	9.60365
11875	23750000	553.750000	8.56881e-07	0.0027945	0.00289356	0.00311616	0.578001	0.571056	167	9.5357
12000	24000000	555.000000	8.60264e-07	0.00257393	0.00312356	0.00310488	0.53238	0.616447	174	9.4424
12125	24250000	556.250000	8.63653e-07	0.0023505	0.0033604	0.00308988	0.486166	0.663187	180	9.31557
12250	24500000	557.500000	8.67046e-07	0.0021257	0.00360269	0.00307106	0.439669	0.711006	184	9.15445
12375	24750000	558.750000	8.70444e-07	0.00190412	0.00384631	0.00304846	0.39384	0.759084	186	8.95847
12500	25000000	560.000000	8.73847e-07	0.00168751	0.00408943	0.00302128	0.349037	0.807065	190	8.72
12587	25174000	560.870000	8.76218e-07	0.00154009	0.00425768	0.0029991	0.318545	0.84027	195	8.5234
