Num ppbs	979
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
4845400	483.454	73	86	11	0.000560938	0.000560938	7.76914
4854000	483.54	78	135	3	0.00107373	0.00107373	7.90062
4861200	483.612	42	96	47	0.00341982	0.00341982	8.23566
4882000	483.82	59	40	12	0.00140737	0.00140737	8.03521
4906400	484.064	123	49	88	0.00383213	0.00383213	8.31279
4934000	484.34	3	137	131	0.00209755	0.00209755	8.35988
4940200	484.402	6	77	80	0.0036892	0.00383301	8.37047
4943800	484.438	78	50	36	0.00121448	0.00121448	8.09091
4959200	484.592	112	67	140	0.0017545	0.0017545	8.40289
4974200	484.742	107	101	106	0.00346839	0.00346839	8.42849
4978400	484.784	25	130	78	0.00315906	0.00320101	8.43566
4988800	484.888	42	57	42	0.00247576	0.00247576	8.45341
4993800	484.938	58	46	116	0.000697214	0.000709198	8.25871
4994000	484.94	126	20	116	0.00257715	0.00258314	8.46229
5003400	485.034	108	22	60	0.00417406	0.00417406	8.47833
5008400	485.084	66	10	133	0.000627673	0.000627673	7.63191
5019600	485.196	49	37	21	0.001903	0.001903	8.50598
5022600	485.226	66	123	63	0.00115207	0.00115207	8.09556
5032600	485.326	77	18	84	0.000624681	0.000840393	8.17203
5038400	485.384	44	116	11	0.00167099	0.00182079	8.53808
5070600	485.706	118	40	77	0.00231665	0.00234661	8.59305
5071200	485.712	110	106	55	0.0046444	0.0046444	8.59407
5099600	485.996	68	99	27	0.000741354	0.000741354	8.21112
5112200	486.122	72	2	29	0.000760639	0.000760639	8.26656
5113600	486.136	7	98	115	0.00244897	0.00244897	8.66646
5114000	486.14	14	98	135	0.00392818	0.00395814	8.66714
5116200	486.162	58	82	125	0.000926042	0.000932034	8.47459
5116200	486.162	120	124	135	0.00248849	0.00248849	8.6709
5131600	486.316	89	125	100	0.00218169	0.00221165	8.69719
5139600	486.396	77	85	18	0.000592536	0.000592536	8.20758
5157200	486.572	24	70	51	0.00137483	0.00146471	8.74091
5163800	486.638	123	49	103	0.00367291	0.00372684	8.75218
5164200	486.642	40	76	92	0.00208388	0.00208388	8.75286
5175200	486.752	43	30	16	0.00295589	0.00295589	8.77165
5176800	486.768	24	101	4	0.00318076	0.00318076	8.77438
5179000	486.79	66	65	135	0.000860331	0.000860331	8.41336
5181600	486.816	21	46	103	0.00190362	0.00213132	8.78257
5188400	486.884	41	84	60	0.00283006	0.00284803	8.79419
5211400	487.114	19	10	11	0.00684396	0.00684396	8.83347
5213200	487.132	116	61	80	0.00288294	0.00298481	8.83654
5237600	487.376	24	102	93	0.00358845	0.00358845	8.87821
5269800	487.698	130	129	138	0.0028316	0.00303533	8.93321
5284400	487.844	9	29	130	0.00275781	0.00275781	8.95815
5299400	487.994	135	92	10	0.00532325	0.00532325	8.98378
5312200	488.122	51	25	124	0.00147091	0.00151885	9.00564
5314000	488.14	74	30	81	0.000770034	0.000770034	8.56388
5321000	488.21	124	18	51	0.00101081	0.00163397	9.02068
5340200	488.402	2	69	42	0.0022347	0.0022347	9.05348
5351000	488.51	120	88	63	0.0041493	0.0041493	9.07193
5360400	488.604	35	23	24	0.00243936	0.00257718	9.08799
5381000	488.81	14	37	139	0.0016959	0.0016959	9.12319
5387200	488.872	129	36	17	0.0060279	0.00603989	9.13378
5391200	488.912	28	56	44	0.00209587	0.00209587	9.14062
5391600	488.916	127	89	129	0.00341612	0.00341612	9.1413
5412600	489.126	140	121	84	0.00166345	0.00166345	9.17718
5422200	489.222	20	48	55	0.00357725	0.00357725	9.19359
5423800	489.238	14	121	133	0.00494357	0.00494357	9.19632
5445600	489.456	133	83	75	0.00366727	0.00366727	9.23357
5459800	489.598	12	5	89	0.00339004	0.00344996	9.25784
5460400	489.604	84	136	28	0.00124444	0.00124444	9.18773
5470000	489.7	83	119	121	0.00133732	0.00133732	9.17876
5473000	489.73	125	25	105	0.00237209	0.00238407	9.2804
5480200	489.802	84	121	37	0.00133032	0.00133032	9.22763
5484400	489.844	27	112	70	0.00234702	0.00234702	9.29989
5485600	489.856	92	126	39	0.0027403	0.0027403	9.30194
5499600	489.996	36	88	29	0.00377799	0.00401168	9.32586
5528800	490.288	63	33	33	0.000864954	0.000864954	9.0496
5547800	490.478	62	65	40	0.000817508	0.0008235	9.10251
5596600	490.966	20	97	107	0.00264586	0.00264586	9.49168
5603600	491.036	93	28	33	0.0024791	0.00271278	9.50364
5614000	491.14	117	28	104	0.00272326	0.00273524	9.52143
5622000	491.22	27	92	86	0.00237904	0.00245095	9.5351
5626000	491.26	59	124	48	0.000810081	0.000893969	9.30948
5659400	491.594	102	135	26	0.00325425	0.00376956	9.59905
5665800	491.658	23	114	111	0.0043788	0.00441475	9.60999
5666000	491.66	127	128	86	0.00567479	0.00567479	9.61034
5683400	491.834	46	104	76	0.00294062	0.00300653	9.64009
5714800	492.148	26	108	28	0.00144749	0.00144749	9.69379
5726600	492.266	69	110	76	0.000706091	0.000706091	9.12999
5726800	492.268	31	91	130	0.00336424	0.00336424	9.71431
5729400	492.294	81	44	120	0.000941137	0.000941137	9.49062
5732400	492.324	100	105	51	0.00247607	0.00248206	9.72389
5733800	492.338	64	99	114	0.000298128	0.000316104	7.78129
5797200	492.972	13	84	107	0.00161788	0.00161788	9.83472
5819800	493.198	124	21	51	0.00137543	0.00203455	9.87338
5824800	493.248	91	104	55	0.00229933	0.00252104	9.88193
5825000	493.25	70	35	52	0.0011792	0.0011792	9.50352
5863400	493.634	3	134	116	0.00220097	0.00220097	9.94797
5868400	493.684	88	26	35	0.00159322	0.00171306	9.95652
5870000	493.7	99	38	119	0.00291898	0.00291898	9.95926
5886600	493.866	24	15	94	0.00291273	0.00291273	9.98766
5890400	493.904	76	22	29	0.000835267	0.000835267	9.62963
5902200	494.022	90	45	98	0.00155987	0.00155987	10.0144
5917600	494.176	3	140	19	0.000376426	0.000376426	10.0407
5937400	494.374	71	90	57	0.000767846	0.000767846	9.23245
5971000	494.71	61	7	111	0.000772615	0.000772615	9.71813
5974800	494.748	137	97	71	0.00236137	0.00261902	10.1386
5975800	494.758	14	33	56	0.00276482	0.00289664	10.1403
5981800	494.818	31	77	102	0.00144687	0.00154275	10.1506
5986400	494.864	62	91	94	0.000958599	0.000958599	9.6881
5990400	494.904	129	121	24	0.00539325	0.00539325	10.1653
5990800	494.908	1	27	73	0.00292186	0.00292186	10.166
6079800	495.798	121	14	113	0.00183009	0.00184208	10.3183
6086200	495.862	35	62	95	0.00162197	0.00205938	10.3293
6122400	496.224	55	73	105	0.00160623	0.00160623	10.3342
6137200	496.372	137	108	134	0.0030639	0.0030639	10.4166
6155800	496.558	119	89	52	0.00238762	0.00265127	10.4484
6169600	496.696	63	89	122	0.000552317	0.000552317	9.57516
6175200	496.752	116	17	119	0.00212218	0.00213416	10.4816
6177400	496.774	113	139	52	0.00270617	0.00270617	10.4854
6181600	496.816	106	19	127	0.00181148	0.00266834	10.4926
6217000	497.17	119	32	81	0.00131705	0.00139495	10.5532
6224000	497.24	82	31	19	0.00104199	0.00121576	10.3802
6229000	497.29	59	117	139	0.000762243	0.000762243	10.3615
6276800	497.768	13	113	3	0.00214028	0.00214028	10.6556
6279000	497.79	4	140	26	0.000650078	0.000650078	10.6594
6285600	497.856	21	99	23	0.0026487	0.0026487	10.6707
6291000	497.91	10	15	39	0.00387061	0.00387061	10.6799
6294200	497.942	31	98	61	0.00185096	0.00190489	10.6854
6295800	497.958	91	139	119	0.00178552	0.00178552	10.6882
6297200	497.972	20	75	101	0.00229378	0.00229378	10.6906
6317200	498.172	61	126	115	0.000911361	0.000911361	10.392
6319000	498.19	46	105	20	0.00237271	0.00237271	10.7279
6321600	498.216	29	70	115	0.00250204	0.00250204	10.7324
6339400	498.394	55	90	15	0.000885465	0.000993321	10.0071
6344800	498.448	83	27	17	0.00144616	0.00161993	10.4644
6356000	498.56	109	66	85	0.00286064	0.00341191	10.7913
6360800	498.608	3	80	119	0.00249723	0.00249723	10.7995
6387400	498.874	22	116	25	0.00197239	0.00197239	10.8451
6397000	498.97	136	3	119	0.00167676	0.00167676	10.8615
6397400	498.974	43	127	124	0.00331814	0.00336608	10.8622
6400800	499.008	16	41	50	0.00208602	0.00208602	10.868
6409400	499.094	101	72	102	0.00168411	0.00174403	10.8828
6410000	499.1	106	73	106	0.00236405	0.00250187	10.8838
6426400	499.264	97	76	129	0.00324644	0.00324644	10.9119
6433000	499.33	54	51	126	0.00110326	0.00110326	10.9232
6436600	499.366	60	43	26	0.000740785	0.000740785	10.3224
6464800	499.648	13	88	115	0.00129704	0.00133299	10.9777
6465000	499.65	59	51	117	0.00054636	0.00054636	9.8736
6480000	499.8	120	21	21	0.00593121	0.00593121	11.0037
6488600	499.886	3	12	100	0.00203343	0.00203943	11.0185
6496000	499.96	77	17	85	0.00022321	0.000504834	4.85408
6500400	500.004	57	17	93	0.00109417	0.00109417	10.6599
6501000	500.01	32	34	90	0.00368554	0.00368554	11.0397
6501600	500.016	118	14	84	0.00273079	0.00286262	11.0407
