Crystallize 1.4 log for model PM3_151028_2242
Run began at: Wed Oct 28 22:51:44 2015

**** WARNING ****: max courant = 1.29375.  Instability possible.

Random seed used = -1446090704

Uncompensated deficit of 4.89231e-09 g at index (33,88,55) at time 21.890 m.y.
Uncompensated deficit of 7.0289e-10 g at index (112,71,87) at time 21.896 m.y.
Uncompensated deficit of 1.71542e-09 g at index (125,58,124) at time 21.902 m.y.
Uncompensated deficit of 4.23481e-09 g at index (108,128,102) at time 21.910 m.y.
Uncompensated deficit of 3.99613e-09 g at index (108,126,104) at time 21.910 m.y.
Uncompensated deficit of 8.40249e-09 g at index (124,59,125) at time 21.912 m.y.
Uncompensated deficit of 6.36203e-09 g at index (109,127,102) at time 21.914 m.y.
Uncompensated deficit of 6.29993e-09 g at index (109,126,103) at time 21.914 m.y.
Uncompensated deficit of 2.16909e-09 g at index (130,120,82) at time 21.940 m.y.
Uncompensated deficit of 8.60815e-09 g at index (129,121,83) at time 21.944 m.y.
Uncompensated deficit of 5.84383e-09 g at index (129,6,91) at time 21.968 m.y.
Uncompensated deficit of 7.13301e-09 g at index (129,119,85) at time 21.974 m.y.
Uncompensated deficit of 7.27735e-09 g at index (130,6,92) at time 21.976 m.y.
Uncompensated deficit of 2.66668e-09 g at index (131,120,81) at time 21.984 m.y.
Uncompensated deficit of 1.11555e-08 g at index (128,121,85) at time 21.988 m.y.
Uncompensated deficit of 9.27799e-09 g at index (128,122,84) at time 21.994 m.y.
Time = 22000000.000000, delC = 2.73335e-07, NuclRate = 1.15991e-13
Uncompensated deficit of 8.64475e-09 g at index (127,121,87) at time 22.022 m.y.
Uncompensated deficit of 5.27846e-09 g at index (128,6,90) at time 22.022 m.y.
Uncompensated deficit of 7.92715e-09 g at index (61,45,95) at time 22.036 m.y.
Uncompensated deficit of 8.99928e-10 g at index (131,6,93) at time 22.044 m.y.
Uncompensated deficit of 7.94146e-09 g at index (37,106,77) at time 22.052 m.y.
Uncompensated deficit of 1.23367e-08 g at index (63,46,94) at time 22.054 m.y.
Uncompensated deficit of 1.14853e-08 g at index (36,105,77) at time 22.110 m.y.
Uncompensated deficit of 9.34687e-09 g at index (127,6,89) at time 22.128 m.y.
Uncompensated deficit of 6.43701e-09 g at index (88,22,89) at time 22.146 m.y.
Uncompensated deficit of 5.86316e-09 g at index (11,62,116) at time 22.152 m.y.
Uncompensated deficit of 1.44314e-09 g at index (89,22,90) at time 22.158 m.y.
Uncompensated deficit of 5.42074e-09 g at index (12,63,115) at time 22.164 m.y.
Uncompensated deficit of 8.12655e-09 g at index (87,22,88) at time 22.168 m.y.
Uncompensated deficit of 6.50822e-09 g at index (88,23,88) at time 22.170 m.y.
Uncompensated deficit of 8.18754e-09 g at index (89,24,89) at time 22.174 m.y.
Uncompensated deficit of 3.4049e-09 g at index (11,63,114) at time 22.182 m.y.
Uncompensated deficit of 1.00177e-10 g at index (88,20,90) at time 22.184 m.y.
Uncompensated deficit of 8.1397e-09 g at index (87,20,89) at time 22.186 m.y.
Uncompensated deficit of 2.60132e-09 g at index (87,19,90) at time 22.202 m.y.
Uncompensated deficit of 3.20968e-09 g at index (90,23,91) at time 22.204 m.y.
Uncompensated deficit of 8.46299e-09 g at index (12,62,117) at time 22.204 m.y.
Uncompensated deficit of 4.23465e-09 g at index (90,24,90) at time 22.206 m.y.
Uncompensated deficit of 5.91717e-09 g at index (119,30,107) at time 22.210 m.y.
Uncompensated deficit of 1.0698e-08 g at index (86,19,89) at time 22.212 m.y.
Uncompensated deficit of 9.11512e-09 g at index (86,20,88) at time 22.220 m.y.
Uncompensated deficit of 2.6035e-09 g at index (118,31,107) at time 22.220 m.y.
Uncompensated deficit of 9.45073e-09 g at index (87,23,87) at time 22.222 m.y.
Uncompensated deficit of 1.04598e-10 g at index (13,64,115) at time 22.224 m.y.
Uncompensated deficit of 3.27094e-09 g at index (88,19,91) at time 22.226 m.y.
Uncompensated deficit of 1.1466e-09 g at index (86,21,87) at time 22.228 m.y.
Time = 22250000.000000, delC = 2.76684e-07, NuclRate = 1.19769e-13
Uncompensated deficit of 6.0475e-09 g at index (120,32,105) at time 22.250 m.y.
Uncompensated deficit of 1.02738e-08 g at index (89,25,88) at time 22.252 m.y.
Uncompensated deficit of 7.77249e-10 g at index (85,18,88) at time 22.254 m.y.
Uncompensated deficit of 2.9709e-09 g at index (121,31,105) at time 22.268 m.y.
Uncompensated deficit of 7.44911e-09 g at index (90,21,92) at time 22.274 m.y.
Uncompensated deficit of 8.83593e-09 g at index (89,19,92) at time 22.278 m.y.
Uncompensated deficit of 6.70707e-09 g at index (85,20,87) at time 22.280 m.y.
Uncompensated deficit of 9.63651e-09 g at index (14,64,116) at time 22.282 m.y.
Uncompensated deficit of 3.85e-09 g at index (91,23,92) at time 22.296 m.y.
Uncompensated deficit of 1.17548e-09 g at index (118,29,108) at time 22.296 m.y.
Uncompensated deficit of 2.64511e-09 g at index (117,30,108) at time 22.304 m.y.
Uncompensated deficit of 1.16962e-08 g at index (85,21,86) at time 22.318 m.y.
Uncompensated deficit of 2.27361e-10 g at index (84,18,87) at time 22.328 m.y.
Uncompensated deficit of 2.3844e-10 g at index (91,26,90) at time 22.342 m.y.
Uncompensated deficit of 5.18614e-09 g at index (122,30,105) at time 22.344 m.y.
Uncompensated deficit of 5.52277e-09 g at index (116,31,108) at time 22.368 m.y.
Time = 22500000.000000, delC = 2.80037e-07, NuclRate = 1.23546e-13
Uncompensated deficit of 1.39735e-08 g at index (97,52,58) at time 22.508 m.y.
Uncompensated deficit of 1.02103e-08 g at index (98,53,58) at time 22.532 m.y.
Uncompensated deficit of 2.88292e-09 g at index (26,45,104) at time 22.532 m.y.
Uncompensated deficit of 3.50188e-09 g at index (26,44,106) at time 22.532 m.y.
Uncompensated deficit of 6.59234e-09 g at index (27,45,106) at time 22.536 m.y.
Uncompensated deficit of 4.72778e-09 g at index (25,44,104) at time 22.538 m.y.
Uncompensated deficit of 8.81375e-10 g at index (98,52,59) at time 22.546 m.y.
Uncompensated deficit of 1.20245e-08 g at index (99,53,59) at time 22.556 m.y.
Uncompensated deficit of 7.67046e-09 g at index (25,43,106) at time 22.558 m.y.
Uncompensated deficit of 8.60287e-09 g at index (99,54,58) at time 22.560 m.y.
Uncompensated deficit of 2.79521e-09 g at index (27,46,103) at time 22.562 m.y.
Uncompensated deficit of 5.31291e-09 g at index (24,43,104) at time 22.572 m.y.
Uncompensated deficit of 1.07524e-08 g at index (28,46,105) at time 22.572 m.y.
