Porphyroblast growth histories for: 
C:\Users\Eric\xllize1.4\runsPM3\PM3_150728_2021\PM3_150728_2021
10	21.0000	91.0000	101.000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00320692	0.0130443	0.0172059	0.0213876	0.0250370	0.0287184	0.0321506	0.0350460	0.0380046	0.0407433	0.0432597	0.0457010	0.0479055	0.0500979	0.0521729	0.0541476	0.0560037	0.0576845	0.0592641	0.0607760	0.0621420	0.0633475	0.0644342	0.0653621	0.0661274	0.0667503	0.0672361	0.0676166	0.0679023	0.0681177	0.0682811	0.0684083	0.0685041	0.0685758	0.0686295	0.0686697	0.0686999	0.0687225	0.0687393	0.0687518	0.0687612	0.0687683	0.0687735	0.0687774	0.0687804	0.0687826	0.0687843	0.0687855	0.0687865	0.0687871	0.0687871
11	111.000	26.0000	15.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0126755	0.0168786	0.0211578	0.0248472	0.0285320	0.0319866	0.0348980	0.0378365	0.0405596	0.0430580	0.0454740	0.0476628	0.0498092	0.0518904	0.0538539	0.0557299	0.0574362	0.0590558	0.0606292	0.0620894	0.0634063	0.0646269	0.0657064	0.0666514	0.0674724	0.0681753	0.0687644	0.0692330	0.0696081	0.0698960	0.0701128	0.0702751	0.0703996	0.0704934	0.0705646	0.0706190	0.0706610	0.0706933	0.0707186	0.0707385	0.0707542	0.0707668	0.0707770	0.0707851	0.0707916	0.0707970	0.0708013	0.0708048	0.0708076	0.0708076
12	5.00000	131.000	39.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0111736	0.0159151	0.0202256	0.0240130	0.0275651	0.0309070	0.0336406	0.0361696	0.0385599	0.0407471	0.0427336	0.0446410	0.0463922	0.0480027	0.0495803	0.0510625	0.0524169	0.0536563	0.0547887	0.0557659	0.0565705	0.0572167	0.0577412	0.0581631	0.0585049	0.0587914	0.0590225	0.0592076	0.0593585	0.0594831	0.0595857	0.0596710	0.0597425	0.0598050	0.0598551	0.0598950	0.0599263	0.0599504	0.0599688	0.0599828	0.0599933	0.0600013	0.0600073	0.0600117	0.0600151	0.0600176	0.0600195	0.0600209	0.0600219	0.0600220
13	2.00000	65.0000	86.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0105026	0.0152975	0.0191811	0.0225963	0.0255612	0.0284115	0.0310272	0.0332214	0.0352568	0.0372450	0.0391107	0.0408252	0.0423892	0.0438708	0.0452973	0.0465744	0.0477413	0.0488276	0.0498172	0.0507151	0.0515103	0.0522075	0.0528246	0.0533506	0.0537949	0.0541713	0.0544812	0.0547366	0.0549452	0.0551159	0.0552505	0.0553554	0.0554364	0.0554985	0.0555458	0.0555817	0.0556089	0.0556294	0.0556448	0.0556565	0.0556652	0.0556717	0.0556766	0.0556803	0.0556831	0.0556852	0.0556867	0.0556879	0.0556888	0.0556888
14	118.000	124.000	104.000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0101383	0.0153617	0.0197271	0.0236343	0.0273524	0.0309055	0.0338351	0.0365891	0.0392472	0.0416185	0.0437831	0.0458448	0.0476378	0.0493273	0.0509145	0.0523642	0.0536972	0.0549330	0.0560447	0.0570278	0.0579263	0.0587538	0.0595221	0.0602503	0.0609028	0.0614846	0.0619709	0.0623689	0.0626886	0.0629405	0.0631403	0.0633000	0.0634221	0.0635154	0.0635867	0.0636408	0.0636822	0.0637134	0.0637373	0.0637555	0.0637694	0.0637798	0.0637878	0.0637941	0.0637987	0.0638023	0.0638050	0.0638072	0.0638089	0.0638089
15	90.0000	23.0000	126.000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00389918	0.0135675	0.0181165	0.0223911	0.0260349	0.0297981	0.0328783	0.0356482	0.0382914	0.0406723	0.0428105	0.0448216	0.0465817	0.0481196	0.0495890	0.0509358	0.0521431	0.0532428	0.0542463	0.0551483	0.0559530	0.0566602	0.0572838	0.0578456	0.0583405	0.0587810	0.0591633	0.0594863	0.0597590	0.0599998	0.0601984	0.0603642	0.0605033	0.0606204	0.0607193	0.0608031	0.0608745	0.0609370	0.0609901	0.0610352	0.0610736	0.0611062	0.0611336	0.0611563	0.0611749	0.0611900	0.0612022	0.0612120	0.0612199	0.0612200
16	23.0000	94.0000	35.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0130282	0.0176680	0.0220716	0.0257725	0.0295597	0.0327856	0.0357187	0.0386066	0.0413026	0.0437967	0.0462426	0.0484650	0.0507019	0.0528259	0.0548582	0.0567673	0.0585344	0.0602916	0.0619637	0.0635104	0.0649590	0.0662315	0.0673389	0.0682898	0.0690940	0.0697653	0.0703263	0.0708043	0.0712027	0.0715387	0.0718138	0.0720369	0.0722155	0.0723614	0.0724725	0.0725563	0.0726192	0.0726662	0.0727013	0.0727275	0.0727470	0.0727616	0.0727724	0.0727806	0.0727866	0.0727911	0.0727945	0.0727971	0.0727971
17	122.000	136.000	87.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0119068	0.0167071	0.0212878	0.0249148	0.0282867	0.0313913	0.0339776	0.0363968	0.0386394	0.0406224	0.0423200	0.0438477	0.0452578	0.0464461	0.0474816	0.0483735	0.0491784	0.0498616	0.0504588	0.0509687	0.0514215	0.0518164	0.0521618	0.0524650	0.0527277	0.0529491	0.0531345	0.0532882	0.0534152	0.0535196	0.0536041	0.0536721	0.0537286	0.0537736	0.0538089	0.0538364	0.0538577	0.0538740	0.0538864	0.0538960	0.0539033	0.0539089	0.0539131	0.0539164	0.0539189	0.0539209	0.0539224	0.0539236	0.0539236
18	81.0000	122.000	26.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0106163	0.0159706	0.0207299	0.0246754	0.0283728	0.0318498	0.0347778	0.0377132	0.0404531	0.0429504	0.0453532	0.0475141	0.0495855	0.0515986	0.0534701	0.0552685	0.0569201	0.0584466	0.0599095	0.0612801	0.0624897	0.0635944	0.0646048	0.0654928	0.0662589	0.0669306	0.0675232	0.0680457	0.0685002	0.0688809	0.0691876	0.0694372	0.0696355	0.0697911	0.0699128	0.0700080	0.0700823	0.0701401	0.0701851	0.0702199	0.0702470	0.0702680	0.0702843	0.0702970	0.0703070	0.0703145	0.0703205	0.0703252	0.0703252
19	61.0000	117.000	32.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00968346	0.0155155	0.0202429	0.0242937	0.0279053	0.0311894	0.0338237	0.0362428	0.0384530	0.0403903	0.0420960	0.0436771	0.0451452	0.0463994	0.0475135	0.0485396	0.0495164	0.0504251	0.0512322	0.0519456	0.0525665	0.0531159	0.0535851	0.0539995	0.0543467	0.0546369	0.0548809	0.0550871	0.0552544	0.0553899	0.0554986	0.0555855	0.0556545	0.0557091	0.0557522	0.0557860	0.0558123	0.0558328	0.0558487	0.0558610	0.0558704	0.0558776	0.0558833	0.0558876	0.0558909	0.0558935	0.0558954	0.0558969	0.0558970
