time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
53500	10700000	535.000000	1.73493e-06	0.0168932	0.0105792	0.000401871	5.10377	2.94209	696	13.95
54000	10800000	535.000000	1.73548e-06	0.0162999	0.0111692	0.000397828	4.92452	3.10616	710	13.7635
54500	10900000	535.000000	1.73603e-06	0.0157075	0.0117587	0.000393694	4.74554	3.2701	718	13.5723
55000	11000000	535.000000	1.73659e-06	0.0151153	0.0123491	0.000389228	4.56664	3.4343	729	13.3627
55500	11100000	535.000000	1.73714e-06	0.014525	0.0129375	0.000384788	4.38828	3.59791	741	13.1537
56000	11200000	535.000000	1.7377e-06	0.0139362	0.0135239	0.00038008	4.2104	3.76101	754	12.9295
56500	11300000	535.000000	1.73825e-06	0.0133544	0.0141052	0.000375386	4.03464	3.92265	756	12.7056
57000	11400000	535.000000	1.73881e-06	0.0127802	0.0146801	0.000370708	3.86116	4.08254	766	12.4812
57500	11500000	535.000000	1.73936e-06	0.0122113	0.0152492	0.00036582	3.68927	4.24079	777	12.244
58000	11600000	535.000000	1.73992e-06	0.0116493	0.0158115	0.000360935	3.5195	4.39718	781	12.006
58500	11700000	535.000000	1.74048e-06	0.011096	0.016366	0.000355773	3.35232	4.55138	794	11.752
59000	11800000	535.000000	1.74103e-06	0.010553	0.0169095	0.000350601	3.18827	4.70252	799	11.4957
59500	11900000	535.000000	1.74159e-06	0.0100208	0.0174425	0.000345283	3.02749	4.85077	810	11.2293
60000	12000000	535.000000	1.74214e-06	0.00949807	0.017965	0.000339997	2.86956	4.99606	820	10.9629
60500	12100000	535.000000	1.7427e-06	0.00898861	0.0184739	0.000334775	2.71564	5.1376	827	10.699
61000	12200000	535.000000	1.74326e-06	0.00849298	0.0189704	0.000329514	2.5659	5.27568	838	10.4323
61500	12300000	535.000000	1.74381e-06	0.00800807	0.0194557	0.000324242	2.4194	5.41063	849	10.1637
62000	12400000	535.000000	1.74437e-06	0.00753709	0.019927	0.000318706	2.27711	5.54169	855	9.88037
62500	12500000	535.000000	1.74493e-06	0.00708163	0.0203844	0.000313087	2.1395	5.66889	860	9.58998
63000	12600000	535.000000	1.74549e-06	0.00664373	0.0208256	0.000307062	2.00721	5.79159	864	9.27245
63500	12700000	535.000000	1.74604e-06	0.00622354	0.0212492	0.00030129	1.88026	5.90941	867	8.96524
64000	12800000	535.000000	1.7466e-06	0.0058207	0.0216557	0.000295519	1.75855	6.02244	871	8.65657
64500	12900000	535.000000	1.74716e-06	0.00543551	0.0220446	0.000289702	1.64218	6.13059	875	8.34012
65000	13000000	535.000000	1.74772e-06	0.0050675	0.0224159	0.000284101	1.53099	6.23386	879	8.034
65500	13100000	535.000000	1.74828e-06	0.00471513	0.0227712	0.000278528	1.42453	6.33267	885	7.73099
66000	13200000	535.000000	1.74883e-06	0.00437961	0.02311	0.000272824	1.32317	6.42688	891	7.41532
66500	13300000	535.000000	1.74939e-06	0.00406191	0.0234309	0.000266883	1.22718	6.51613	895	7.08039
