Crystallize 1.4 log for model PM4_120619_1554_rnd1
Run began at: Thu Jul 19 23:11:03 2012

courant = 0.846364

Random seed used = -1340438188

Uncompensated deficit of 1.35078e-09 g at index (47,33,18) at time 8.940 m.y.
Uncompensated deficit of 4.42325e-09 g at index (45,34,19) at time 8.941 m.y.
Uncompensated deficit of 5.58887e-09 g at index (7,137,18) at time 8.964 m.y.
Uncompensated deficit of 2.27247e-09 g at index (95,129,19) at time 8.965 m.y.
Uncompensated deficit of 4.34699e-09 g at index (25,115,74) at time 8.990 m.y.
Time = 9000000.000000, delC = 1.00401e-06, NuclRate = 1.38955e-13
Uncompensated deficit of 1.16225e-10 g at index (96,130,18) at time 9.055 m.y.
Uncompensated deficit of 3.76665e-09 g at index (95,128,20) at time 9.063 m.y.
Uncompensated deficit of 2.63426e-09 g at index (37,80,90) at time 9.067 m.y.
Uncompensated deficit of 3.76991e-09 g at index (97,9,76) at time 9.084 m.y.
Time = 9100000.000000, delC = 1.02012e-06, NuclRate = 1.39209e-13
Uncompensated deficit of 1.42975e-09 g at index (120,46,92) at time 9.156 m.y.
Time = 9200000.000000, delC = 1.03637e-06, NuclRate = 1.39456e-13
Uncompensated deficit of 3.81296e-09 g at index (139,111,77) at time 9.214 m.y.
Uncompensated deficit of 1.51575e-09 g at index (30,82,52) at time 9.216 m.y.
Uncompensated deficit of 6.83574e-09 g at index (34,83,87) at time 9.288 m.y.
Uncompensated deficit of 1.43735e-09 g at index (39,54,38) at time 9.295 m.y.
Time = 9300000.000000, delC = 1.05274e-06, NuclRate = 1.39696e-13
Uncompensated deficit of 6.39714e-09 g at index (33,22,30) at time 9.308 m.y.
Uncompensated deficit of 6.09611e-09 g at index (41,121,57) at time 9.310 m.y.
Uncompensated deficit of 2.53232e-09 g at index (103,3,91) at time 9.327 m.y.
Uncompensated deficit of 2.46509e-09 g at index (24,103,26) at time 9.330 m.y.
Uncompensated deficit of 5.5054e-10 g at index (7,108,27) at time 9.341 m.y.
Uncompensated deficit of 3.38524e-09 g at index (38,55,38) at time 9.347 m.y.
Uncompensated deficit of 1.85512e-09 g at index (40,113,7) at time 9.347 m.y.
Uncompensated deficit of 6.0236e-09 g at index (23,104,25) at time 9.351 m.y.
Uncompensated deficit of 2.55774e-09 g at index (29,83,51) at time 9.373 m.y.
Uncompensated deficit of 2.29539e-09 g at index (16,94,104) at time 9.379 m.y.
Uncompensated deficit of 3.22438e-09 g at index (39,55,37) at time 9.381 m.y.
Uncompensated deficit of 2.96657e-09 g at index (54,23,82) at time 9.381 m.y.
Uncompensated deficit of 3.33342e-09 g at index (40,120,57) at time 9.385 m.y.
Uncompensated deficit of 4.46859e-09 g at index (89,44,105) at time 9.386 m.y.
Time = 9400000.000000, delC = 1.06924e-06, NuclRate = 1.39929e-13
Uncompensated deficit of 6.77559e-09 g at index (40,54,37) at time 9.414 m.y.
Uncompensated deficit of 5.37283e-09 g at index (16,95,103) at time 9.432 m.y.
Uncompensated deficit of 2.86853e-09 g at index (121,46,98) at time 9.435 m.y.
Uncompensated deficit of 3.57537e-09 g at index (120,47,98) at time 9.435 m.y.
Uncompensated deficit of 4.40087e-09 g at index (51,81,12) at time 9.450 m.y.
Uncompensated deficit of 1.01607e-08 g at index (20,73,56) at time 9.482 m.y.
Uncompensated deficit of 2.73738e-09 g at index (15,94,105) at time 9.491 m.y.
Time = 9500000.000000, delC = 1.08588e-06, NuclRate = 1.40155e-13
Uncompensated deficit of 2.3806e-10 g at index (90,41,106) at time 9.508 m.y.
Uncompensated deficit of 1.44258e-08 g at index (13,23,102) at time 9.510 m.y.
Uncompensated deficit of 4.73408e-10 g at index (13,26,134) at time 9.519 m.y.
Uncompensated deficit of 3.30095e-09 g at index (12,25,134) at time 9.519 m.y.
Uncompensated deficit of 6.3515e-09 g at index (51,99,12) at time 9.522 m.y.
Uncompensated deficit of 6.06811e-10 g at index (29,116,30) at time 9.533 m.y.
Uncompensated deficit of 8.11987e-09 g at index (10,22,103) at time 9.545 m.y.
Uncompensated deficit of 2.91422e-09 g at index (13,25,133) at time 9.561 m.y.
Uncompensated deficit of 9.00972e-11 g at index (49,102,16) at time 9.571 m.y.
Uncompensated deficit of 4.50783e-09 g at index (86,97,97) at time 9.595 m.y.
Time = 9600000.000000, delC = 1.10264e-06, NuclRate = 1.40374e-13
Uncompensated deficit of 6.16218e-09 g at index (48,101,16) at time 9.600 m.y.
Uncompensated deficit of 5.50375e-10 g at index (31,53,39) at time 9.615 m.y.
Uncompensated deficit of 5.92815e-09 g at index (14,26,133) at time 9.626 m.y.
Uncompensated deficit of 1.01498e-09 g at index (12,24,133) at time 9.626 m.y.
Uncompensated deficit of 3.52973e-09 g at index (93,9,48) at time 9.628 m.y.
Uncompensated deficit of 1.56714e-09 g at index (8,15,99) at time 9.629 m.y.
Uncompensated deficit of 6.49501e-09 g at index (48,102,15) at time 9.634 m.y.
Uncompensated deficit of 3.52783e-09 g at index (6,17,98) at time 9.653 m.y.
Uncompensated deficit of 2.2562e-09 g at index (96,120,121) at time 9.654 m.y.
Uncompensated deficit of 7.35575e-09 g at index (95,119,120) at time 9.656 m.y.
Uncompensated deficit of 5.59234e-09 g at index (7,11,43) at time 9.657 m.y.
Uncompensated deficit of 4.52329e-09 g at index (88,38,98) at time 9.660 m.y.
Uncompensated deficit of 3.93468e-09 g at index (139,95,82) at time 9.661 m.y.
Uncompensated deficit of 5.18361e-09 g at index (9,116,16) at time 9.665 m.y.
Uncompensated deficit of 5.04395e-09 g at index (53,125,131) at time 9.668 m.y.
Uncompensated deficit of 4.93617e-09 g at index (120,8,114) at time 9.669 m.y.
Uncompensated deficit of 5.06815e-09 g at index (6,129,34) at time 9.684 m.y.
Uncompensated deficit of 2.93313e-09 g at index (128,26,114) at time 9.685 m.y.
Uncompensated deficit of 6.81483e-09 g at index (6,130,33) at time 9.686 m.y.
Uncompensated deficit of 3.48488e-09 g at index (8,10,42) at time 9.690 m.y.
Time = 9700000.000000, delC = 1.11954e-06, NuclRate = 1.40588e-13
Uncompensated deficit of 2.37586e-09 g at index (30,54,38) at time 9.703 m.y.
Uncompensated deficit of 3.61538e-09 g at index (96,29,91) at time 9.704 m.y.
Uncompensated deficit of 5.94195e-09 g at index (51,85,11) at time 9.713 m.y.
Uncompensated deficit of 3.25754e-09 g at index (119,15,53) at time 9.720 m.y.
Uncompensated deficit of 1.31918e-09 g at index (120,14,54) at time 9.722 m.y.
Uncompensated deficit of 1.24341e-11 g at index (32,104,60) at time 9.731 m.y.
Uncompensated deficit of 5.06512e-09 g at index (40,27,21) at time 9.747 m.y.
Uncompensated deficit of 1.39015e-09 g at index (16,79,104) at time 9.754 m.y.
Uncompensated deficit of 5.34919e-09 g at index (7,12,44) at time 9.758 m.y.
Uncompensated deficit of 4.9243e-09 g at index (17,79,105) at time 9.762 m.y.
Uncompensated deficit of 3.26784e-09 g at index (88,49,93) at time 9.763 m.y.
Uncompensated deficit of 3.53838e-09 g at index (39,28,21) at time 9.775 m.y.
Uncompensated deficit of 7.0055e-09 g at index (8,128,34) at time 9.782 m.y.
Uncompensated deficit of 1.12416e-09 g at index (18,91,109) at time 9.794 m.y.
Time = 9800000.000000, delC = 1.13658e-06, NuclRate = 1.40795e-13
Uncompensated deficit of 5.40693e-09 g at index (7,20,36) at time 9.810 m.y.
Uncompensated deficit of 1.72834e-09 g at index (17,91,108) at time 9.813 m.y.
Uncompensated deficit of 6.98449e-09 g at index (29,89,59) at time 9.814 m.y.
Uncompensated deficit of 4.60333e-09 g at index (128,26,111) at time 9.814 m.y.
Uncompensated deficit of 2.90866e-09 g at index (14,137,42) at time 9.822 m.y.
Uncompensated deficit of 3.64696e-09 g at index (30,91,57) at time 9.830 m.y.
Uncompensated deficit of 4.58321e-09 g at index (16,92,110) at time 9.831 m.y.
Uncompensated deficit of 8.31205e-09 g at index (31,92,57) at time 9.836 m.y.
Uncompensated deficit of 9.20018e-10 g at index (45,74,88) at time 9.842 m.y.
Uncompensated deficit of 1.17653e-08 g at index (18,77,95) at time 9.843 m.y.
Uncompensated deficit of 1.0942e-08 g at index (29,90,58) at time 9.844 m.y.
Uncompensated deficit of 1.77899e-09 g at index (87,129,18) at time 9.845 m.y.
Uncompensated deficit of 1.43849e-09 g at index (44,74,87) at time 9.850 m.y.
Uncompensated deficit of 7.17401e-09 g at index (5,117,16) at time 9.857 m.y.
Uncompensated deficit of 2.2769e-09 g at index (4,118,17) at time 9.860 m.y.
Uncompensated deficit of 6.04242e-09 g at index (18,81,103) at time 9.875 m.y.
Uncompensated deficit of 4.62748e-09 g at index (8,21,37) at time 9.877 m.y.
Uncompensated deficit of 2.12662e-09 g at index (41,27,22) at time 9.878 m.y.
Time = 9900000.000000, delC = 1.15375e-06, NuclRate = 1.40997e-13
Uncompensated deficit of 3.68747e-09 g at index (17,93,112) at time 9.907 m.y.
Uncompensated deficit of 7.5522e-09 g at index (26,101,65) at time 9.932 m.y.
Uncompensated deficit of 7.96015e-09 g at index (10,128,32) at time 9.946 m.y.
Uncompensated deficit of 1.01153e-08 g at index (6,116,15) at time 9.947 m.y.
Uncompensated deficit of 1.56282e-09 g at index (38,91,50) at time 9.953 m.y.
Uncompensated deficit of 8.30716e-09 g at index (6,47,122) at time 9.953 m.y.
Uncompensated deficit of 4.51126e-09 g at index (6,102,28) at time 9.986 m.y.
Uncompensated deficit of 1.77175e-09 g at index (7,103,29) at time 9.993 m.y.
Uncompensated deficit of 5.91549e-09 g at index (94,33,95) at time 9.998 m.y.
Time = 10000000.000000, delC = 1.17105e-06, NuclRate = 1.41193e-13
Uncompensated deficit of 4.24217e-09 g at index (121,123,43) at time 10.001 m.y.
Uncompensated deficit of 2.30966e-09 g at index (39,90,50) at time 10.007 m.y.
Uncompensated deficit of 5.85321e-09 g at index (137,9,98) at time 10.011 m.y.
Uncompensated deficit of 3.68956e-09 g at index (103,77,49) at time 10.018 m.y.
Uncompensated deficit of 2.00162e-09 g at index (7,85,116) at time 10.019 m.y.
Uncompensated deficit of 3.66867e-10 g at index (38,92,52) at time 10.027 m.y.
Uncompensated deficit of 3.28453e-09 g at index (121,122,42) at time 10.030 m.y.
Uncompensated deficit of 9.4292e-10 g at index (120,122,43) at time 10.037 m.y.
Uncompensated deficit of 9.71116e-10 g at index (6,104,29) at time 10.038 m.y.
Uncompensated deficit of 3.39805e-09 g at index (40,23,18) at time 10.048 m.y.
Uncompensated deficit of 4.40771e-09 g at index (119,64,74) at time 10.071 m.y.
Uncompensated deficit of 3.26052e-09 g at index (20,96,8) at time 10.075 m.y.
Uncompensated deficit of 4.16448e-10 g at index (97,41,113) at time 10.079 m.y.
Uncompensated deficit of 4.34198e-09 g at index (21,95,7) at time 10.083 m.y.
Uncompensated deficit of 3.32053e-10 g at index (26,87,127) at time 10.090 m.y.
Uncompensated deficit of 6.24939e-09 g at index (26,88,126) at time 10.090 m.y.
Uncompensated deficit of 5.03559e-09 g at index (6,138,32) at time 10.095 m.y.
Uncompensated deficit of 7.70027e-10 g at index (43,10,111) at time 10.098 m.y.
Time = 10100000.000000, delC = 1.1716e-06, NuclRate = 1.41199e-13
Uncompensated deficit of 5.35571e-09 g at index (95,42,114) at time 10.103 m.y.
Uncompensated deficit of 8.68195e-09 g at index (8,103,30) at time 10.106 m.y.
Uncompensated deficit of 2.62285e-09 g at index (120,65,75) at time 10.108 m.y.
Uncompensated deficit of 1.81608e-09 g at index (101,73,124) at time 10.109 m.y.
Uncompensated deficit of 5.41144e-09 g at index (120,121,42) at time 10.111 m.y.
Uncompensated deficit of 3.96865e-09 g at index (122,87,134) at time 10.115 m.y.
Uncompensated deficit of 9.97394e-09 g at index (19,64,45) at time 10.118 m.y.
Uncompensated deficit of 1.49964e-09 g at index (6,105,30) at time 10.119 m.y.
Uncompensated deficit of 1.5639e-09 g at index (42,8,111) at time 10.124 m.y.
Uncompensated deficit of 1.27502e-09 g at index (18,65,44) at time 10.129 m.y.
Uncompensated deficit of 9.54556e-09 g at index (26,68,122) at time 10.132 m.y.
Uncompensated deficit of 1.07513e-08 g at index (94,41,114) at time 10.136 m.y.
Uncompensated deficit of 6.03482e-09 g at index (42,9,110) at time 10.143 m.y.
Uncompensated deficit of 1.71055e-09 g at index (46,90,44) at time 10.159 m.y.
Uncompensated deficit of 8.73231e-09 g at index (20,63,46) at time 10.171 m.y.
Uncompensated deficit of 4.63619e-09 g at index (120,44,83) at time 10.183 m.y.
