Num ppbs	234
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
10631900	535	130	55	39	0.000514412	0.000514412	9.77894
10650540	535	62	43	138	0.000226667	0.000226667	9.77894
10660020	535	22	77	97	0.000532916	0.000532916	9.77894
10675280	535	65	47	40	0.000687269	0.000687269	9.77894
10677120	535	134	103	49	0.000288789	0.000288789	9.77894
10695560	535	91	38	132	0.000222855	0.000222855	9.77894
10713820	535	23	102	101	0.000393335	0.000393335	9.77894
10744280	535	18	134	4	0.000560103	0.000560103	9.77894
10750200	535	85	44	3	0.000344417	0.000344417	9.77894
10781040	535	26	5	69	0.00055659	0.00055659	9.77894
10782560	535	30	56	10	0.000265721	0.000265721	9.77894
10824860	535	63	40	121	0.00029767	0.00029767	9.77894
10936840	535	123	119	62	0.000318968	0.000318968	9.77894
10970040	535	22	62	61	0.000267813	0.000267813	9.39999
10972300	535	73	15	136	0.000326231	0.000326231	9.77894
10991300	535	74	129	14	0.00047961	0.00047961	9.77894
11002960	535	66	16	91	0.000248554	0.000248554	9.25329
11015560	535	19	19	103	0.000394568	0.000394568	9.77894
11072440	535	124	41	74	0.000440005	0.000440005	9.77894
11115020	535	102	99	59	0.000225437	0.000225437	9.77894
11166980	535	9	18	92	0.000338296	0.000338296	9.77894
11173780	535	105	56	117	0.000225667	0.000225667	9.62201
11186320	535	70	42	5	0.00033084	0.00033084	9.77894
11283680	535	139	103	67	0.000183946	0.000183946	9.77894
11291540	535	84	128	139	6.64444e-05	6.64444e-05	8.89899
11306380	535	105	121	80	0.000371996	0.000371996	9.77894
11316080	535	16	120	108	0.000181999	0.000181999	9.77894
11332140	535	114	74	7	0.000416155	0.000416155	9.77894
11353080	535	90	69	45	0.000201442	0.000201442	9.77894
11375080	535	77	81	67	9.93925e-05	9.93925e-05	9.77894
11406860	535	76	123	45	0.000308397	0.000308397	9.77894
11409760	535	112	135	41	0.000232368	0.000232368	9.77894
11499820	535	128	100	132	0.000203166	0.000203166	9.77894
11575440	535	3	101	59	0.00019809	0.00019809	9.77894
11601400	535	130	47	126	0.00023563	0.00023563	9.77894
11641200	535	65	103	5	0.000394759	0.000394759	9.77894
11660960	535	125	132	25	0.000411481	0.000411481	9.77894
11662140	535	19	39	105	0.000296116	0.000296116	9.77894
11679440	535	51	78	9	0.000345238	0.000345238	9.77894
11699640	535	8	135	36	0.000360198	0.000360198	9.77894
11710180	535	44	130	14	0.000323912	0.000323912	9.57776
11736940	535	38	60	17	0.000164444	0.000164444	9.77894
11737880	535	129	54	127	0.000188824	0.000188824	9.77894
11752300	535	116	118	92	0.000199152	0.000199152	8.19287
11811720	535	15	95	1	0.000299672	0.000299672	9.77894
11834060	535	17	106	59	0.000134508	0.000134508	9.77894
11852680	535	84	71	4	0.00029095	0.00029095	9.77894
11864660	535	2	30	104	0.000133126	0.000133126	9.77894
11869220	535	121	121	37	0.000239304	0.000239304	9.77894
11880540	535	57	137	91	0.000211424	0.000211424	9.77894
11888420	535	43	62	15	0.00014218	0.00014218	9.77894
11945600	535	40	70	62	0.000219554	0.000219554	9.77894
11954260	535	65	71	11	0.000304432	0.000304432	9.77894
11978220	535	43	75	75	0.000195466	0.000195466	9.77894
11999560	535	85	139	11	7.1528e-05	7.1528e-05	9.05903
12014740	535	131	4	25	0.000202132	0.000202132	9.77894
12044500	535	74	26	88	0.000164744	0.000164744	9.77894
12051700	535	137	135	101	0.00025369	0.00025369	9.77894
12067060	535	12	43	7	8.56189e-05	8.56189e-05	9.28084
12167760	535	9	12	20	0.000505205	0.000505205	9.77894
12182640	535	113	6	78	0.000156223	0.000156223	9.45482
12202620	535	31	79	83	0.000118047	0.000118047	9.77894
12295860	535	124	92	92	0.000168855	0.000168855	9.77894
12298040	535	51	115	50	6.79397e-05	6.79397e-05	9.77894
12309280	535	116	84	3	0.000223899	0.000223899	9.77894
12352300	535	84	61	135	0.000134428	0.000134428	9.77894
12533740	535	21	36	131	0.000108402	0.000108402	9.77894
12627760	535	125	35	64	0.000122746	0.000122746	9.77894
12673140	535	126	13	101	0.000206104	0.000206104	9.77894
12678100	535	129	50	108	0.000105757	0.000105757	9.77894
12744020	535	139	91	33	0.000121964	0.000121964	9.77894
12756540	535	81	112	8	8.88089e-05	8.88089e-05	9.09314
12780720	535	72	65	54	7.79387e-05	7.79387e-05	9.77894
12812300	535	138	36	57	0.000115176	0.000115176	9.77894
12859100	535	131	40	62	9.07934e-05	9.07934e-05	9.77894
12867260	535	84	118	74	0.000128162	0.000128162	9.77894
12876360	535	68	28	73	0.000141721	0.000141721	9.77894
12896320	535	137	134	38	0.000100704	0.000100704	9.77894
12933360	535	52	134	107	3.52202e-05	3.52202e-05	9.42847
12937640	535	17	14	81	5.69348e-05	5.69348e-05	9.77894
13062100	535	72	131	5	6.56735e-05	6.56735e-05	8.87083
13184580	535	5	73	35	0.000105502	0.000105502	9.77894
13191360	535	118	84	88	6.48488e-05	6.48488e-05	9.77894
13382100	535	95	120	83	7.99276e-05	7.99276e-05	9.31176
13414160	535	134	113	104	5.99238e-05	5.99238e-05	9.77894
13637480	535	43	13	22	0.000378154	0.000378154	9.77894
13668860	535	90	17	51	0.000128572	0.000128572	9.77894
13748640	535	16	125	18	9.64777e-05	9.64777e-05	9.77894
13775800	535	103	139	82	5.11966e-05	5.11966e-05	9.77894
13776900	535	78	19	41	0.000121144	0.000121144	9.77894
13830100	535	118	71	72	1.59514e-05	1.59514e-05	9.77894
14051940	535	86	35	48	3.39988e-05	3.39988e-05	9.77894
14305720	535	6	107	14	9.79505e-05	9.79505e-05	9.77894
14509540	535	51	94	10	2.03052e-05	2.03052e-05	9.77894
